word,english
အရောင်များ,Colours
ဒါကဘာအရောင်လဲ။,What colour is this?
အနီရောင်,Red
အပြာ,Blue
အဝါရောင်,Yellow
အစိမ်းရောင်,Green
လိမ္မော်ရောင်,Orange
ပန်းရောင်,Pink
ခရမ်းရောင်,Purple
အညို,Brown
အဖြူ,White
အနက်ရောင်,Black
တိရစ္ဆာန်များ,Animals
ဒီတိရစ္ဆာန်ကဘာလဲ။,What is this animal?
ခွေး,Dog
ကြောင်,Cat
ခြင်္သေ့,Lion
စာငှက်,Sparrow
ယုန်,Rabbit
ဝက်,Pig
နွားမ,Cow
နွား,Ox
ဆင်,Elephant
မြင်း,Horse
မျောက်,Monkey
ဝက်ဝံ,Bear
သစ်ကုလားအုတ်,Giraffe
သိုး,Food
အစားအသောက်,I'll take it.
သုပ်,Salad
အသားညှပ်ပေါင်မုန့်,Sandwich
ဟမ်ဘာဂါ,Hamburger
အာလူးချောင်းကြော်,French fries
ပီဇာ,Pizza
ခေါက်ဆွဲ,Pasta
မုန့်,Bread
ထမင်း,cooked rice
Couscous,Couscous
ခေါက်ဆွဲ,Pasta
ကြက်ဥ,Egg
ဒိန်ခဲ,Cheese
ဒိန်ချဥ်,Yogurt
ဝက်ပေါင်ခြောက်,ham
ဝက်အူချောင်း,sausage
ငါး,Fish
ကြက်သား,chicken
ဝက်,Pig
အမဲသား,beef
အသီးအရွက်,Vegetables
မင်း မစားနိုင်တဲ့ အရာ ရှိလား။,Do you have something you cannot eat
ခရမ်းချဉ်သီး,Tomato
အာလူး,Potato
မုန်လာဥနီ,Carrot
ကြက်သွန်နီ,Onion
ဂျပန်ကြက်သွန်မြိတ်,Japanese leek
မှို,Mushroom
ငရုတ်ပွစိမ်း,Green pepper
မုန်လာဥ,Radish
ပဲပင်,Legume
ဂေါ်ဖီထုပ်,Cabbage
Napa ဂေါ်ဖီထုပ်,Napa cabbage
ဟင်းနုနွယ်ရွက်,Spinach
ဆလတ်ရွက်,Lettuce
သခွားသီး,Cucumber
ရွှေဖရုံသီး,Pumpkin
ဘရိုကိုလီ,Broccoli
သစ်သီးများ,Fruits
မင်းအကြိုက်ဆုံးအသီးကဘာလဲ။,What is your favorite fruit?
ပန်းသီး,Apple
သံပယိုသီး,Lemon
သရက်သီး,Mango
သလဲသီး,Pomegranate
စတော်ဘယ်ရီ,Strawberry
လိမ္မော်သီး,Orange
နာနတ်သီး,Pineapple
သခွားမသီး,Melon
စပျစ်သီး,Grapes
ငှက်ပျောသီး,Banana
ချယ်ရီ,Cherry
မာလကာ,Guava
ဖရဲသီး,Watermelon
သစ်တော်သီး,Pear
သဖန်းသီး,Fig
ကီဝီသီး,Kiwi
သင်္ဘောသီး,Papaya
အုန်းသီး,Coconut
ဂရိတ်ဖရု,Grapefruit
မိုဘိုင်း,Transportation
ဘယ်သွားရမလဲ,Where should I go?
ဘတ်စ်ကား,Bus
ရထား,Train
ကား,Car
လေယာဉ်ပျံ,Airplane
သင်္ဘော,Ship
လှေ,Boat
ရေငုပ်သင်္ဘော,Submarine
စက်ဘီး,Bicycle
မြေအောက်ရထား,Subway
ဆိုင်ကယ်,Motorbike
ရဟတ်ယာဉ်,Helicopter
တက္ကစီ,Taxi
ဈေးဝယ်ထွက်,Shopping
တစ်ခုခု ရှာနေတာလား။,Are you looking for something?
လိုက်ရှာနေတယ်။,I'm just looking
ပိုကြီးတဲ့တစ်ခုခုများရှိပါသလား,Do you have a larger one
ဒီထက်သေးတာရှိသေးလား။,Is there anything smaller
စမ်းကြည့်လို့ရမလား။,Can I try it on
ဘယ်လောက်လဲ,How much is it
ငါ့ကိုလျှော့ပေးနိုင်မလား,Can you discount me?
နည်းနည်းပိုမယ်ထင်တယ်။,A little more I think
ဒါကို ယူပါ။,Take this
ပြေစာတစ်ခုပေးပါ။,Give me a receipt
အဲဒါကို ပြန်ပေးချင်ပါတယ်။,I'd like to return it.
ဟိုတယ်,Hotel
အခန်းလွတ်ရှိပါသလား။,Is there a vacant room?
ကျွန်တော်ကြိုတင်နေရာယူထားပါတယ်,I have a reservation
လူပျို,Single
နှစ်ချက်,Double
အမွှာ,Twin
ငါ နှစ်ရက်နေမယ်။,I will stay for two days.
တစ်ညဘယ်လောက်လဲ။,How much is it overnight
မနက်စာပါဝင်ပါသလား,Is breakfast included
ငွေရှင်းချိန်က ဘယ်နှနာရီလဲ။,What time is checkout
ရေပူ မရှိပါဘူး,There is no hot water
လေအေးပေးစက် မတွဲပါဘူး။,Air conditioner does not attach
အိမ်သာက မစီးဘူး။,The toilet does not flow
အခန်းသော့ကို အခန်းထဲမှာ မေ့သွားတယ်။,I forgot my room key in the room
ငါ့အထုပ်အပိုးကို သိမ်းထားနိုင်မလား။,Can you keep my luggage
အခန်းသော့,Room key
Wifi စကားဝှက်,Wifi password
သန့်ရှင်းရေး,Cleaning
သန့်ရှင်းရေးဝန်ဆောင်မှု,Cleaning service
သံ,Iron
ဓာတ်သတ္တုရေ,Mineral water
စောင်,Blanket
မျက်နှာသုတ်ပုဝါ,Towel
လေမှုတ်စက်,Dryer
ခန္ဓာကိုယ်,Body
ဘယ်နားကနာနေပါလဲ?,Where does it hurt?
မျက်လုံး,Eye
နှာခေါင်း,nose
ပါးစပ်,mouth
မျက်နှာ,face
ဦးခေါင်း,Head
လည်ပင်း,neck
ဆံပင်,hair
နား,ear
သွား,tooth
ခြေသည်း,claw
လက်ညှိုး,finger
လက်,hand
လက်မောင်း,arm
ပခုံး,shoulder
ခြေချောင်းများ,Toes
ခြေထောက်များ,legs
ဗိုက်,stomach
ရက်စွဲ,Date
ဒီနေ့ဘာနေ့ပါလဲ?,What day is today?
နေ့,Day
ဒီနေ့,Today
မနေ့က,Yesterday
မနေ့က,Yesterday
သဘက်ခါ,Day after tomorrow
မနက်ဖြန်,Tomorrow
တစ်နှစ်,Year
လ,Month
အေးလေ,Week
တနင်္ဂနွေ,Sunday
တနင်္လာနေ့,Monday
အင်္ဂါ,Tuesday
ဗုဒ္ဓဟူးနေ့,Wednesday
ကြာသပတေးနေ့,Thursday
သောကြာ,Friday
စနေနေ့,Saturday
ရာသီဥတု,The season
ဘယ်ရာသီကို ကြိုက်လဲ။,What season do you like?
နွေဦး,Spring
နွေရာသီ,Summer
ဆောင်းဦး,Autumn
ဆောင်းရာသီ,Winter
လ,Month
မင်းဘယ်လမှာမွေးတာလဲ။,What month were you born?
သင့်မွေးနေ့ဘယ်တော့လဲ?,When is your birthday?
ဇန်နဝါရီလ,January
ဖေဖော်ဝါရီ,February
မတ်လ,March
ဧပြီလ,April
မေ,May
ဇွန်လ,June
ဇူလိုင်လ,July
သြဂုတ်လ,August
စက်တင်ဘာ,September
အောက်တိုဘာလ,October
နိုဝင်ဘာလ,November
0,
မိသားစု,Family
ဘယ်သူလဲ?,Who is it?
ငါ,I
ဖေဖေ,Father
မေမေ,Mother
0,
အစ်ကိုအကြီး,Elder brother
အစ်မ,Elder sister
ညီအငယ်,Younger brother
ညီမအငယ်,Younger sister
အဖိုး,Grandfather
အဖွား,Grandmother
သားတော်,Son
သမီး,Daughter
ခင်ပွန်း,Husband
မယား,Wife
ဦးတည်ချက်,Directions
ဘူတာရုံက ဘယ်မှာလဲ။,Where is the bus stop?
ဘတ်စ်ကားမှတ်တိုင်က ဘယ်မှာလဲ။,bus
ရှေ့တည့်တည့်ကို သွားပါ။,Go straight ahead
လက်ဝဲဘက်ကွေ့ပါ,Turn left
လက်ယာဘက်ကွေ့ပါ,Turn right
မီ,Before
နောက်ကွယ်,Behind
ဘေး,Next to
လမ်းတစ်ဖက်,Across the street
ထောင့်,Corner
ဝဲ,Left
မှန်တယ်။,Right
တက်,Up
ဆင်းတယ်။,Down
မြောက်ဦး,North
အရှေ့,East
အနောက်,West
ရာသီဥတု,The season
ရာသီဥတု ဘယ်လိုလဲ။,How is the weather?
နေသာသည်။,Sunny
တိမ်ထူတယ်။,Cloudy
မိုး,Rain
နှင်း,Snow
လေတိုက်သည်။,Wind
မြူနှင်း,Fog
ပူတယ်။,Hot
အေး,Cold
နွေးထွေးတယ်။,Warm
အေးတယ်။,Cool
ခြောက်သွေ့,Dry
ဝါသနာ,Hobby
မင်းရဲ့ဝါသနာကဘာလဲ,What is your hobby
ဖတ်ရန်,To read
ချက်ပြုတ်ရန်,to cook
ပုံတစ်ခုဆွဲပါ။,draw a picture
စန္ဒယားတီးတယ်။,play piano
ဂီတတူရိယာတစ်ခုတီးပါ။,Play a musical instrument
သီချင်းဆို,sing
ကခုန်သည်။,dance
ပန်းကန်ခွက်ယောက်,Tableware
0,
အမဲချိတ်,Fork
ဓား,Knife
ဇွန်း,Spoon
မီးခြစ်,Chopsticks
ပန်းကန်,Dish
ရေယာဉ်,Vessel
ဖန်,Glass
ဖလား,Cup
လက်သုတ်ပဝါ,Napkin
ဟင်းခတ်အနှစ်,Seasoning
ကျေးဇူးပြုပြီး ယူလို့ရမလား။,Could you please take?
ဆားငန်,Salt
ငရုတ်ကောင်း,Pepper
သကြား,Sugar
Mayonnaise,Mayonnaise
Ketchup,Ketchup
မုန်ညင်း,Mustard
ဆီ,Oil
ရှလကာရည်,Vinegar
ယို,Jam
ဟန်နီ,Honey
ထောပတ်,Butter
အားကစား,Sport
