english,native,image_filename,sort_order,extra_data
Eye,မျက်လုံး,eye.png,1,
nose,နှာခေါင်း,nose.png,2,
mouth,ပါးစပ်,mouth.png,3,
face,မျက်နှာ,face.png,4,
Head,ဦးခေါင်း,head.png,5,
neck,လည်ပင်း,neck.png,6,
hair,ဆံပင်,hair.png,7,
ear,နား,ear.png,8,
tooth,သွား,tooth.png,9,
claw,ခြေသည်း,claw.png,10,
finger,လက်ညှိုး,finger.png,11,
hand,လက်,hand.png,12,
arm,လက်မောင်း,arm.png,13,
shoulder,ပခုံး,shoulder.png,14,
Toes,ခြေချောင်းများ,toes.png,15,
legs,ခြေထောက်များ,legs.png,16,
stomach,ဗိုက်,stomach.png,17,
