english,native,image_filename,sort_order,extra_data
bus,ဘတ်စ်ကားမှတ်တိုင်က ဘယ်မှာလဲ။,bus.png,1,
Go straight ahead,ရှေ့တည့်တည့်ကို သွားပါ။,go_straight_ahead.png,2,
Turn left,လက်ဝဲဘက်ကွေ့ပါ,turn_left.png,3,
Turn right,လက်ယာဘက်ကွေ့ပါ,turn_right.png,4,
Before,မီ,before.png,5,
Behind,နောက်ကွယ်,behind.png,6,
Next to,ဘေး,next_to.png,7,
Across the street,လမ်းတစ်ဖက်,across_the_street.png,8,
Corner,ထောင့်,corner.png,9,
Left,ဝဲ,left.png,10,
Right,မှန်တယ်။,right.png,11,
Up,တက်,up.png,12,
Down,ဆင်းတယ်။,down.png,13,
North,မြောက်ဦး,north.png,14,
East,အရှေ့,east.png,15,
West,အနောက်,west.png,16,
