english,native,image_filename,sort_order,extra_data
Salad,သုပ်,salad.png,1,
Sandwich,အသားညှပ်ပေါင်မုန့်,sandwich.png,2,
Hamburger,ဟမ်ဘာဂါ,hamburger.png,3,
French fries,အာလူးချောင်းကြော်,french_fries.png,4,
Pizza,ပီဇာ,pizza.png,5,
Pasta,ခေါက်ဆွဲ,pasta.png,6,
Bread,မုန့်,bread.png,7,
cooked rice,ထမင်း,cooked_rice.png,8,
Couscous,Couscous,couscous.png,9,
Pasta,ခေါက်ဆွဲ,pasta.png,10,
Egg,ကြက်ဥ,egg.png,11,
Cheese,ဒိန်ခဲ,cheese.png,12,
Yogurt,ဒိန်ချဥ်,yogurt.png,13,
ham,ဝက်ပေါင်ခြောက်,ham.png,14,
sausage,ဝက်အူချောင်း,sausage.png,15,
Fish,ငါး,fish.png,16,
chicken,ကြက်သား,chicken.png,17,
Pig,ဝက်,pig.png,18,
beef,အမဲသား,beef.png,19,
