english,native,image_filename,sort_order,extra_data
Apple,ပန်းသီး,apple.png,1,
Lemon,သံပယိုသီး,lemon.png,2,
Mango,သရက်သီး,mango.png,3,
Pomegranate,သလဲသီး,pomegranate.png,4,
Strawberry,စတော်ဘယ်ရီ,strawberry.png,5,
Orange,လိမ္မော်သီး,orange.png,6,
Pineapple,နာနတ်သီး,pineapple.png,7,
Melon,သခွားမသီး,melon.png,8,
Grapes,စပျစ်သီး,grapes.png,9,
Banana,ငှက်ပျောသီး,banana.png,10,
Cherry,ချယ်ရီ,cherry.png,11,
Guava,မာလကာ,guava.png,12,
Watermelon,ဖရဲသီး,watermelon.png,13,
Pear,သစ်တော်သီး,pear.png,14,
Fig,သဖန်းသီး,fig.png,15,
Kiwi,ကီဝီသီး,kiwi.png,16,
Papaya,သင်္ဘောသီး,papaya.png,17,
Coconut,အုန်းသီး,coconut.png,18,
Grapefruit,ဂရိတ်ဖရု,grapefruit.png,19,
