english,native,image_filename,sort_order,extra_data
Running,ပြေးသည်။,running.png,1,
Bicycle,စက်ဘီး,bicycle.png,2,
Swimming,ရေကူးတယ်။,swimming.png,3,
Skiings,နှင်းလျှောစီးခြင်း။,skiings.png,4,
Soccer,ဘောလုံး,soccer.png,5,
Basketball,ဘတ်စကက်ဘော,basketball.png,6,
Volleyball,ဘော်လီဘော,volleyball.png,7,
Baseball,ဘေ့စ်ဘော,baseball.png,8,
Table tennis,စားပွဲတင်တင်းနစ်,table_tennis.png,9,
Tennis,တင်းနစ်,tennis.png,10,
Badminton,ကြက်တောင်ရိုက်,badminton.png,11,
Fighting sports,တိုက်ခိုက်ရေးအားကစား,fighting_sports.png,12,
