english,native,image_filename,sort_order,extra_data
Tomato,ခရမ်းချဉ်သီး,tomato.png,1,
Potato,အာလူး,potato.png,2,
Carrot,မုန်လာဥနီ,carrot.png,3,
Onion,ကြက်သွန်နီ,onion.png,4,
Japanese leek,ဂျပန်ကြက်သွန်မြိတ်,japanese_leek.png,5,
Mushroom,မှို,mushroom.png,6,
Green pepper,ငရုတ်ပွစိမ်း,green_pepper.png,7,
Radish,မုန်လာဥ,radish.png,8,
Legume,ပဲပင်,legume.png,9,
Cabbage,ဂေါ်ဖီထုပ်,cabbage.png,10,
Napa cabbage,Napa ဂေါ်ဖီထုပ်,napa_cabbage.png,11,
Spinach,ဟင်းနုနွယ်ရွက်,spinach.png,12,
Lettuce,ဆလတ်ရွက်,lettuce.png,13,
Cucumber,သခွားသီး,cucumber.png,14,
Pumpkin,ရွှေဖရုံသီး,pumpkin.png,15,
Broccoli,ဘရိုကိုလီ,broccoli.png,16,
